S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin,Party
1,Anakapalle(5),C.M.RAMESH,762069,296530,BJP
2,Rajahmundry(8),DAGGUBATI PURANDHESHWARI,726515,239139,BJP
3,Narsapuram(9),BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),707343,276802,BJP
4,Arunachal West(1),KIREN RIJIJU,205417,100738,BJP
5,Arunachal East(2),TAPIR GAO,145581,30421,BJP
6,Darrang-Udalguri(4),DILIP SAIKIA,868387,329012,BJP
7,Guwahati(5),BIJULI KALITA MEDHI,894887,251090,BJP
8,Diphu(6),AMARSING TISSO,334620,147603,BJP
9,Karimganj(7),KRIPANATH MALLAH,545093,18360,BJP
10,Silchar (8),PARIMAL SUKLABAIDYA,652405,264311,BJP
11,Kaziranga(10),KAMAKHYA PRASAD TASA,897043,248947,BJP
12,Sonitpur(11),RANJIT DUTTA,775788,361408,BJP
13,Lakhimpur(12),PRADAN BARUAH,663122,201257,BJP
14,Dibrugarh(13),SARBANANDA SONOWAL,693762,279321,BJP
15,Paschim Champaran(2),DR.SANJAY JAISWAL,580421,136568,BJP
16,Purvi Champaran(3),RADHA MOHAN SINGH,542193,88287,BJP
17,Madhubani(6),ASHOK KUMAR YADAV,553428,151945,BJP
18,Araria(9),PRADEEP KUMAR SINGH,600146,20094,BJP
19,Darbhanga(14),GOPAL JEE THAKUR,566630,178156,BJP
20,Muzaffarpur(15),RAJ BHUSHAN CHOUDHARY,619749,234927,BJP
21,Maharajganj(19),"JANARDAN SINGH ""SIGRIWAL""",529533,102651,BJP
22,Saran(20),RAJIV PRATAP RUDY,471752,13661,BJP
23,Ujiarpur(22),NITYANAND RAI,515965,60102,BJP
24,Begusarai(24),GIRIRAJ SINGH,649331,81480,BJP
25,Patna Sahib(30),RAVI SHANKAR PRASAD,588270,153846,BJP
26,Nawada(39),VIVEK THAKUR,410608,67670,BJP
27,North Goa(1),SHRIPAD YESSO NAIK,257326,116015,BJP
28,Kachchh(1),CHAVDA VINOD LAKHAMSHI,659574,268782,BJP
29,Patan(3),DABHI  BHARATSINHJI  SHANKARJI,591947,31876,BJP
30,Mahesana(4),HARIBHAI PATEL,686406,328046,BJP
31,Sabarkantha(5),SHOBHANABEN MAHENDRASINH BARAIYA,677318,155682,BJP
32,Gandhinagar(6),AMIT SHAH,1010972,744716,BJP
33,Ahmedabad East(7),HASMUKHBHAI PATEL (H.S.PATEL),770459,461755,BJP
34,Ahmedabad West(8),DINESHBHAI MAKWANA (ADVOCATE),611704,286437,BJP
35,Surendranagar(9),CHANDUBHAI CHHAGANBHAI SHIHORA,669749,261617,BJP
36,Rajkot(10),PARSHOTTAMBHAI RUPALA,857984,484260,BJP
